title,categories,keywords
can i get a streetpass in 2024?,gaming;people and blogs|vlog,"nintendo 3ds,3ds,nintendo,sega,3ds streetpass,3ds eshop,can i,nintendo switch,nintendo switch 2,switch 2,zelda,egon,mario,3ds games,3ds homebrew,3ds hack,wii u,nintendo online,can i get a streetpass,streetpass weekend,2024 streetpass,3ds online servers,nintendo network,nintendo network shut down,3ds nostalgia,3ds streetpass 2024,streetpass revival,streetpass mii plaza,eshop,wii u servers,3ds shut down,england,nintendo 3ds hshop,3ds xl,new 3ds"
how astro bot highlights sony’s incompetence,gaming|analysis,"astro bot,sony,playstation,ps5,ps4,devil may cry,parappa the rapper,metal gear solid,uncharted,last of us,tlou,the last of us 2,gaming,video games,ape escape,astro bot cameos,bot,cameos,playstation 5,persona,god of war,jak and daxter,spyro,crash bandicoot,sly cooper,ps1,ps2,ps3,dmc,gow,gowr,new games,game of the year,platformer,retrospective,ps5 pro,playstation 5 pro,state of play,concord,astro bot gameplay,astro's playroom ps5,egon"
why people love makoto niijima | persona 5,gaming|analysis,"persona 5,persona 5 royal,persona,makoto,persona 5 beta,persona 3 reload,persona 3 remake,makoto niijima,best girl,persona 5 best girl,persona 5 ost,persona 5 music,p5,p5r,persona 5 strikers,persona 3 reload ost,makoto yuki,best persona,gaming,video games,persona 3 confidant,persona 5 confidant,best character,best game,new games,persona 5 story,persona 5 romance,romance makoto persona 5,romance makoto,makoto confidant,makoto best moments,royal"
can i get a 3ds streetpass at the sonic symphony?,gaming;people and blogs|vlog,"sonic the hedgehog,nintendo 3ds,3ds,nintendo,atlanta,sonic symphony,sonic 2023,2023 streetpass,3ds online,3ds shut down,sonic 3ds,sega,3ds streetpass,3ds eshop,sonic music,sonic ost,can i,nintendo switch,nintendo switch 2,switch 2,zelda,egon,mario,3ds games,3ds homebrew,3ds hack,wii u,nintendo news,nintendo online,sonic games,symphony,can i get a streetpass,sonic symphony atlanta,sonic symphony 2023,super sonic,sonic,sonic movie,sonic 3"
rare and wacky nintendo handhelds,gaming|knowledge,"nintendo,rare,handhelds,handheld,gameboy,game boy,gameboy advance,gba,ds,nintendo ds,ds lite,nintendo ds lite,nintendo gameboy,gba sp,pokemon,mario,pikachu,3ds,nintendo 3ds,3ds shutting down,3ds online,zelda,ocarina of time,majora's mask,gba online,nintendo switch,new 3ds,new 3ds xl,dsi,pokemon world championship,2ds,new 2ds,minecraft,eshop,mario kart,bundle,rare collection,collection,video game collection,collecting,metal gear solid,persona 3,switch"
you can now streetpass online,gaming|knowledge,"nintendo 3ds,3ds,nintendo,sega,3ds streetpass,3ds eshop,can i,nintendo switch,nintendo switch 2,switch 2,zelda,egon,mario,3ds games,3ds homebrew,3ds hack,wii u,nintendo online,can i get a streetpass,streetpass weekend,2024 streetpass,3ds online servers,nintendo network,nintendo network shut down,3ds nostalgia,3ds streetpass 2024,streetpass revival,streetpass mii plaza,eshop,wii u servers,3ds shut down,nintendo 3ds hshop,3ds xl,new 3ds,netpass"
what were special miis?,"gaming|knowledge,analysis,video game culture","miis,mii,nintendo 3ds,3ds,mii channel,mii maker,streetpass,streetpass mii plaza,3ds streetpass,streetpass in 2023,3ds eshop,3ds online,3ds internet,wii u,wii,nintendo wii,nintendo wii u,wii u and 3ds,eshop,nintendo eshop,mario,luigi,zelda,goty,gaming,video game,video games,nintendo switch miis,nintendo switch,switch 2,find mii,puzzle swap,3ds games,3ds collection,streetpass dlc,streetpass games,collection,collecting,egon,mario wonder"
so long nintendo 3ds... | discussion,gaming|analysis,"nintendo,nintendo ds,nintendo 3ds,3ds,ds,wii,wii u,eshop,streetpass,animal crossing,metroid,zelda,mario,pokemon,sonic,gaming,videogame,videogames,video game,video games,virtual console,retro,retro gaming,egon,stwo,s-two,speedrun,nostalgia,discussion,nintendo life,kingk,popular,shut down,shutting down,playstation,xbox,sony,microsoft,youtube,record,scott the woz,gameboy,gba,gameboy advance,miitopia,rpg,persona"
sonic frontiers is finally good,"gaming|review,analysis","update,video games,gaming,playstation,sony,sega,nintendo,xbox,videogame,music,good games,pc gaming,steam,difficult games,platformers,3d,action,fighting games,popular games,popular,new,boss,egon,youtube,twitter,consoles,collecting,collection,game collection,race,3ds,wii u,nintendo online,retrospective,review,gamer,should you play it,is it good,brand new,retro,game review,game retrospective"
the nintendo 3ds's weirdest series: the denpa men,gaming|analysis,"denpa men,new denpa men,3ds,indie,nintendo 3ds,3ds eshop,3ds online,denpa men switch,switch direct,switch 2,nintendo direct,new games,new game,video game,gaming,the denpa men: they came by wave,denpa men 1,denpa men 2,denpa men 3,free game,rpg,turn based,pokemon,3ds games,nostalgia,good game,yo kai watch,3ds nostalgia,reboot,game,switch game,switch rpg,switch 2024,2024 games,fun game,denpa,they came by wave,digitoll,boss battle,vr,ar,3d"
who actually remembers weegee?,gaming|video game culture;history,"internet history,weegee,youtube poop,weegee meme,luigi meme,mario is missing,weegeepedia,early internet memes,meme history,creepy memes,nostalgia content"
assorted oddities in ocarina of time's code,gaming|video game culture;science and technology|technology,"code analysis,nintendo,skawo,video essay,programming,ocarina of time"
making a sunlight-powered aquarium (with no filter),"pets and animals;how to and style|hobby,lifestyle","planted tank,planted aquarium,ecosystem,fish tank restoration,no filter,no co2,thanks for nothing,tanks for nothing,window aquarium,broken aquarium,diy aquarium,walstad aquarium,riverbed aquarium,albino corydoras,rabbit snails,bamboo shrimp,ember tetras,amano shrimp,freshwater pipefish,otocinclus,doryichthys martensii"
the lost colony of roanoke,entertainment;history;documentary,"roanoke,croatoan,croatan,sir walter raleigh,sir walter ralegh,roanoak,jamestown,john white,john smith,john lawson,george howe,thomas harriot,sir richard greenville,richard hakluyt,patches,fort raleigh,hidden fort,site x,lost colony,hatteras,dare stone,virginia dare,eleanore dare,outer banks,manteo,wanchese"
the making of back to the future was a sh*t show,film and animation|film;history,"troubled productions,making of back to the future,wtf happened to this movie,wtf happened to back to the future,back to the future behind the scenes,back to the future,marty mcfly,doc brown,michael j fox,crispin glover,eric stoltz,robert zemeckis,bttf,delorean,time travel,production nightmares,behind the scenes,making of"
how retro consoles and computers saved your games,gaming|video game culture;science and technology|technology,"game saves,saved games,save games,save files,mvg,modern vintage gamer,how save games work,edit game save files,xbox one save files,flash memory,sram,eeprom,n64,floppy disk,cassette,tapes,memory card,controller pak,memory pak"
let's build the last of us in lego: part 1,entertainment|television program;gaming,"the last of us,lego,lego build,lego creation,lego moc,lego stop motion,video games,pedro pascal,the last of us game,the last of us show,seattle,apocalypse,building lego,gaming lego,custom lego,lego set,the last of us lego,lego tutorial,lego project,lego fan video"
diy concealment coffee table - farmhouse - full build,"education;how to and style|DIY,hobby","concealment table,biometric gun safe,biometric lock,coffee table diy,concealment,concealment coffee table,concealment furniture,distressed,distressed furniture,diy,diy coffee table,diy concealment coffee table,farmhouse,farmhouse coffee table,farmhouse table diy,hidden,hidden compartment,how to,how to build,how to build concealment furniture,how to distress,make money woodworking,matthew peech,rfid,rfid lock,rustic,sidehustle,weapon concealment,woodworking"
diy budget ecosystem pond - solo build in 5 days by hand,"education;how to and style|DIY,hobby","pond,natural pond,ecosystem pond,waterfall,waterfalls,backyard,garden,watergarden,aquagarden,aquascape"
the insane 3d printing project that cost me a fortune life size c3po,"how to and style|hobby,lifestyle,DIY","life size c3po 3d print,c3po build,star wars droid cosplay,full scale c3po,heyheyitsnaynay c3po,3d printed cosplay,3d printing timelapse,large format 3d print,diy star wars prop,3d printer cost,star wars,c3po,r2d2,lightsaber,cosplay,star wars droids"
why the soundtrack to shrek is actually genius,"music;film and animation|film,analysis;entertainment|film,music","shrek,shrek 2,fiona,donkey,far far away,swamp,allstar,smash,mouth,smash mouth,dreamworks,dies irae,sideways,music,music theory,film score,film music,pop music,dragon,eddie murphey,mike myers,katzenberg,eisner,disney,renaissance"
the truman show: a cleverly disguised tragedy,"film and animation|film,analysis","the truman show,jim carrey,movie,criticism,critique,ed harris,video,essay,film,drama"
life is unfair | a malcolm in the middle retrospective,"film and animation|television program,analysis;entertainment|television program","malcolm in the middle,fox studio,20th century fox,disney,foxcade,retrospective,analysis,sitcom,television,malcolm,dewey,hal,lois,reese,francis,franky muniz,bryan cranston,the simpsons,friends,seinfeld,90's sitcom,linwood boomer,review"
why meet the robinsons is an underrated gem,"entertainment|film,internet culture;film and animation|film,analysis,review","schaffrillas productions,meet the robinsons,disney,lewis,wilbur,bowler hat guy"
a skyblock retrospective,gaming|analysis;entertainment;history,"skyblock,minecraft,minecraft update,minecraft 1.22,minecraft video essay,video essay,1.22,1.21.4,the garden awakens,minecraft skyblock"
biggest cheater in pokemon speedrun history was just caught,gaming|video game culture;news and politics|news,"pulseeffects,pulseeffects speedrun,pokemon speedrun,pokemon world record,world record,speedrun cheater,pokemon cheater caught,pokemon speedrun world record,pokemon,speedrun,pokemon scarlet speedrun,pokemon violet speedrun,karl jobst,biggest cheater pokemon,summoningsalt,pokemon sapphire,pokemon red,pokemon blue,pokemon yellow,cheated world record,pokemon challenge,speedrun explained,karl jobst cheaters"
the longest game in smash history,gaming|video game culture;history,"smash,super smash bros,smash history,superboomfan,gerson,smash 64,64,prince,smash ultimate,melee"
the adventure time episode no one understands,"entertainment|film,television program;film and animation|television program,analysis","adventure time,adventure time,adventure time with finn and jake,finn and jake,finn the human,adventure time finn the human,adventure time jake the dog,jake the dog,bmo,bmo,adventure time bmo,adventure time the hall of egress,the hall of egress,confusing adventure time episode,adventue time ice king,adventure time flame princess,ice king,flame princess,princess bubblegum,finn,adventure time finn,hall of egress,cartoon network,cartoon,jake and finn"
the free churro video,"entertainment|film,television program;film and animation|television program,analysis","bojack,bojack horseman,bojack horseman free churro,free churro analysis,free churro breakdown,bojack eulogy,bojack funeral,bojack speech,bojack monologue,bojack episode breakdown,bojack best episodes,bojack analysis,beatrice horseman,beatrice horseman death,old sugarman place,time's arrow,brand new couch,beatrice horseman phone call,butterscotch horseman,butterscotch horseman death,bojack's father,bojack's mother,bojack's dad,bojack's mom"
"history of the entire world, i guess","education,history","bill wurtz,history of the entire world,history of the world,history of japan,world history,history of the world in 20 minutes,19 minutes,10 minutes,5 minutes,billwurtz,history of the entire world i guess,world history review,history of the universe,the big bang,history of earth,history of planet earth"
why didn't disease flow both ways in 1492?,education,"cgpgrey,education,hello internet,american indians"
paleoanthropologist answers caveman questions from twitter | tech support | wired,"science and technology,education,history","big foot,cave people,caveman,caveman support,cavemen,early human,early humans,early man,geico caveman,human evolution,human vs ape,ice age,innovation,missing link,neanderthal,neanderthals,ott tech support,paleoanthropologist,paleoanthropologist interview,paleoanthropologist wired interview,paleoanthropology,science,science & technology,tech support,wired,wired tech support"
why don't we taxidermy humans?,"science and technology,education","taxidermy,chuck testa"
cicada 3301: an internet mystery,entertainment;documentary;history;science and technology,"cicada 3301,unsolved mystery,documentary,winner,interview,nox populi,marcus wanner,liber primus,solutions,interconnectedness,the instar emergence,puzzle,cryptography,cryptology,cryptanalysis,steganography,encryption,decryption,cipher,decipher,encode,decode,4chan,intelligent individuals,outguess,posters,coordinates,dark net,dark web,deep web,tor,onion,leaked email,pgp,gpg,gematria primus,runes,translation,transcription,alternate reality game,arg,privacy,anonymous"
rogue waves,education;entertainment;history;documentary,"rogue waves,ocean,tsunami,shipwreck,history,geography"
the fear of space,entertainment;documentary,"space,world,outer worlds,worlds,outer,educational,entertainment,engine,space engine,comedy,writing,inspirational,science,sci fi,neptune,earth,sun,moon,universe,galaxy,galaxies,nasa,editing,music,family,friendly,time,planet,planets,solar,good,great,family friendly,fear of space,curiosity,phobia,horror,philisophical,outer space,the universe,astrophobia,cosmophobia,video essay,spds video essay,spds,space phobia,phobia of space,universe size comparison,black holes"
how an infinite hotel ran out of room,education;science and technology,"veritasium,science,physics"
how does bluetooth even exist???,science and technology|technology,"bluetooth,how does bluetooth work"
why we say “ok”,"news and politics|politics, society","ok,okay,history,linguistics,language,vox,vox.com,etymology,origin,newspaper,telegraph,martin van buren,old kinderhook,ok club,explain,explainer,why we say ok,origin of ok,why we say okay,origin of okay,what does okay mean,what does ok mean"
the great silence,entertainment;documentary,"fermi paradox,aliens,seti,search for extraterrestrial intelligence,ufo,astrobiology,square kilometer array,arecibo message,wow signal,biosignature,technosignature,earthlike,exoplanet,habitable zone,gj273b,luyten b,abiogenesis,megastructure,kic 8462852,dyson sphere,dyson swarm,kardashev scale,type iii civilization,rare earth hypothesis,the great filter,zoo hypothesis,transcension hypothesis,voyager,golden record,von neumann probe,oumuamua,radio astronomy"
the coraline bug theory,"film and animation|film,analysis","coraline,theory,analysis,analyzed,explained,ending,creepy,dark,bugs,bug,stop motion,laika studios,laika,pixar,does anyone ready these,animation,film,filmmaking,nostalgia,fantastic mr fox,kids movies,movie,movies,oscars,karsten runquist,karsten"
places you've seen in your dreams explained,education;entertainment;people and blogs,"dreamcore,dreamcore playlist,strangely familiar pictures,dreamcore music,places youve seen in your dreams,the backrooms,backrooms explained,liminal space,the backrooms levels,the backrooms the movie,liminal space iceberg,liminal space explained,familiar places,strangely familiar places,liminal spaces,strangely familiar,places youve been before,backrooms found footage,this is not real its just a dream please wake up,backrooms a24,kane pixels"
mr swirl: the internet's most disturbed user,education,"mr. swirl,mr swirl,christopher neil,christopher neil,mr swirl,mr.,swirl,mr. swirl documentary,nick crowley,documentary"
i went to the dubai they try to hide,"travel and events|tourism,lifestyle","benoftheweek,ben de almeida,dubai,dark side of dubai,dubai labor camps,uae,dubai vlog"
pillsbury cinnamon rolls are a scam,entertainment;food,"pillsbury,dough boy,doughboy,cinnamon rolls,biscuits,pillsbury cinnamon rolls,conspiracy,food,scam,pillsbury cinnamon rolls arent rolls,cinnamon biscuits,premade foods,pillsberry,rolls"
the lost art of parody,entertainment|film,"ls mark,ls mark family guy,family guy,ls mark ranking family guy,family guy ranking,family guy star wars,family guy review,family guy star wars review,family guy blue harvest,family guy something something dark side,family guy its a trap,chris griffin,parody movie,the downfall of parody movies,scary movie,austin powers,scary movie 6,peter griffin,brian griffin,ls mark disaster movie"
scooby doo 2002: an indie horror classic,"film and animation|film,analysis","scooby doo,scooby doo 2002,scooby doo pointlesshub,pointlesshub,scooby doo review,halloween,scooby doo meme,pointlesshub review,scooby doo live action,pointless hub,pointless hub,scoobydoo,scooby doo,scooby doo james gunn,james gunn scooby doo,scooby doo an indie horror classic"
"the chicago gang war, mapped","education;news and politics|politics,society","o'block,o block,o-block,chicago's gang,chicago's gangs,chicago's gang war,o'block gang"
all the positions in the nfl explained,"sports|american football,analysis","tifo,tifo sports,sports video,the athletic,nfl,american football,gridiron football,superbowl,championship,super bowl,positions,offence,defence,explained"
how the nfl uses 'socialism' to get rich,"sports|american football,analysis","sam,ellis,johnny,harris,search party,vox,vox borders,vox atlas,vox explained,geopolitics,news,sports,politics,explainers,journalism,nfl,football,american football,europe,soccer,man,det,epl,super league,league,closed,open,america,england,history,grammarly"
i built real odm gear! - attack on titan,"film and animation;how to and style|hobby, lifestyle,DIY","jlaservideo,diy,how to,tutorial,odm,aot,attack on titan,odm gear,anime,engineering,real odm gear,technology,super powers,manga,eren yeager,levi ackerman"
i tried unknown fast food chains,entertainment;food;travel and events|food,"dylan,food,restaurants,fast food,unknown fast food chains,fast food chains"
i tried every chain breakfast restaurant in america,entertainment;food;travel and events|food,"dylan,food,restaurants,breakfast,chain breakfast,ihop,waffle house,dennys,breakfast restaurant,i tried every chain breakfast restaurant"
i tried the free breakfast at 10 hotels to find the best one,"travel and events|food,lifestyle","sam reid,sam reed,studio revue,studio review,hotel breakfast,free hotel breakfast,continental breakfast,what is a continental breakfast,which hotels have breakfast,which hotel has the best breakfast?,best western breakfast,holiday inn express breakfast,tru breakfast,quality inn breakfast,days inn breakfast,comfort inn breakfast,hampton inn breakfast,red roof inn breakfast,fairfield inn breakfast,super 8 breakfast"
pro chefs blind taste test every frozen pizza | the taste panel | epicurious,entertainment;food,"best frozen pizza,best pizza brand,best supermarket pizza,blind taste test,blind tasting,epicurious,food challenge video,frozen pizza,frozen pizza how to cook,frozen pizza review,how to make frozen pizza,pizza blind taste test,pizza review,pro chefs taste frozen food,pro chefs taste supermarket food,professional chef blind taste test,professional chef taste test,supermarket food,supermarket pizza,taste test videos,the taste panel"
50 useless sonic heroes facts,gaming|video game culture,"useless sonic heroes facts,sonic heroes,glitches,secrets,easter egg,detail,development,beta,prototype,demo,guide,walkthrough,100%,ost,nintendo gamecube,xbox,pc,ps2,iceberg,choa,hidden,secret,stage,rare,glitch compilation,a+ start,son of a glitch,gamegrumps,somecallmejohnny,cutscene,movie,playthrough,mods,challenge,speed run,agdq,gdq,kingk,sonic the hedgehog,tails,dark,eggman,boss,sega,remix,fan,cover,shadow,sonic adventure,sa1,sa2,playstation,frontiers,sonic,cut,content,music"
sonic 3's subtle storytelling,gaming|video game culture,"hyperbithero,sonic,sonic the hedgehog,sonic 3 and knuckles,story,sonic adventure,chaos emeralds,mecha sonic"
a kirby air ride secret hidden for 20 years in plain sight,gaming|video game culture,"kirby,kirby air ride,kirby air riders,sakurai,nintendo,nintendo switch,switch,switch 2,gamecube,easter egg,secret"
nintendo mods that will blow your mind!,gaming|video game culture,"retro renew,nintendo mods,nintendo modding,nintendo emulation,modding scene,video game mods,fan mods,fan remakes,fan remasters,rom hacks,emulation,best mods 2025,game preservation,emulation vs nintendo,modding community,retro gaming,retro renew,emulator mods,dolphin emulator"
harmonic rhythm in sonic the hedgehog's music,gaming|video game culture;music,"sonic,sonic the hedgehog,harmony,melody,harmonic rhythm,video game,vgm,video game music,tails,knuckles,sonic unleashed,sonic adventure,sonic adventure 2,sonic forces,rhythm,chords"
"""invisible"" sound design in breath of the wild",gaming|video game culture;music,"botw,breath of the wild,link,zelda,legend of zelda,hyrule,lanayru,sound design,vgm,video game,video game music,invisible design"
behind splatoon's final minute of music,"gaming|analysis,video game culture;music","splatoon,splatoon 2,octo expansion,video game,video game music,vgm,ost,now or never,squid squad,wet floor,off the hook,squid sisters"
the music theory of super mario rpg's battle music,gaming|analysis;music,"super mario rpg,video games,snes,mario music,nintendo music,battle music,rpg battle music,how to write music,composition,music theory,fight against a stronger monster,fight against smithy,fight against a somewhat stronger monster,yoko shimomura,8-bit music theory"
why does this paper mario boss theme go so hard?,gaming|analysis;music,"paper mario,ttyd,paper mario the thousand year door,doopliss theme,boss music,ost,battle theme,mario music,nintendo music,creepy steeple,how to write music,composition,how to write game music,8-bit music theory"
explaining super mario's underwater music,gaming;music,"super mario bros,super mario music,mario underwater music,swimming music,chiptune,new music,mario ost,how to write music,composition,music theory,koji kondo,8-bit music theory"
the mario maker 3ds disaster,gaming|video game culture,"yo-kai watch,yokai watch,yo-kai,nintendo,nintendo 3ds,3ds worth it,2ds xl,nintendo 2ds xl,gaming,3ds eshop,3ds homebrew,3ds modded,3ds review,3ds games,3ds,yokai watch 2,yokai watch 4,yokai watch 3,yokai watch nuzlocke,nuzlocke,pokemon nuzlocke,pokemon,smallant,pointcrow,ludwig,yokai watch gameplay,yokai watch switch,yokai watch anime,yokai watch playthrough,yokai watch let's play,mario maker,dashiegames,dashiegames super mario maker"
